,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,BROKER INFO,ALL INFO,LIST INFO,BOUGHT INFO,ALL INFO CLEAN,LIST INFO CLEAN,BOUGHT INFO CLEAN,LIST AGENTS,LIST COMPANIES,BOUGHT AGENTS,BOUGHT COMPANIES
0,PAST SALE,,Multi-Family (5+ Unit),4349 18th St,San Francisco,CA,94114,1300000.0,8.0,9.0,,4443.0,1875.0,1904.0,,293.0,,,,,https://www.redfin.com/CA/San-Francisco/4349-18th-St-94114/home/675926,,,N,Y,37.7605142,-122.4380156,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
1,PAST SALE,October-28-2022,Single Family Residential,2127 Balboa St,San Francisco,CA,94121,1300000.0,2.0,1.0,SAN FRANCISCO,984.0,2500.0,1934.0,,1321.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/2127-Balboa-St-94121/home/1021986,MLSListings,ML81909205,N,Y,37.7762438,-122.481817,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
2,PAST SALE,October-28-2022,Single Family Residential,2152 16th Ave,San Francisco,CA,94116,1610000.0,4.0,3.0,San Francisco,1325.0,3000.0,1938.0,,1215.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/2152-16th-Ave-94116/home/1022996,San Francisco MLS,422697206,N,Y,37.7478196,-122.4725196,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
3,PAST SALE,April-1-2022,Single Family Residential,746 33rd Ave,San Francisco,CA,94121,2290000.0,4.0,2.5,SAN FRANCISCO,2050.0,2996.0,1923.0,,1117.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/746-33rd-Ave-94121/home/2018600,MLSListings,ML81879385,N,Y,37.7750348,-122.4928113,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
4,PAST SALE,April-15-2022,Condo/Co-op,423 Waller St #5,San Francisco,CA,94117,720000.0,1.0,1.0,SAN FRANCISCO,588.0,,1965.0,,1224.0,344.0,Sold,,,https://www.redfin.com/CA/San-Francisco/423-Waller-St-94117/unit-5/home/979860,MLSListings,ML81881807,N,Y,37.7709029,-122.4307621,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
5,PAST SALE,April-14-2022,Single Family Residential,4184 25th St,San Francisco,CA,94114,6500000.0,5.0,5.0,San Francisco,4587.0,2665.0,,,1417.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/4184-25th-St-94114/home/1891037,San Francisco MLS,422641455,N,Y,37.7499273,-122.4335822,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
6,PAST SALE,November-10-2022,Single Family Residential,45 Pinehurst Way,San Francisco,CA,94127,1690000.0,3.0,1.0,SAN FRANCISCO,1768.0,3105.0,1928.0,,956.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/45-Pinehurst-Way-94127/home/1395754,MLSListings,ML81908520,N,Y,37.7275834,-122.4655433,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
7,PAST SALE,April-19-2022,Single Family Residential,227 Dorland St,San Francisco,CA,94114,2610000.0,3.0,2.5,San Francisco,2418.0,2953.0,1900.0,,1079.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/227-Dorland-St-94114/home/709900,San Francisco MLS,422638882,N,Y,37.7618726,-122.4290488,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
8,PAST SALE,July-1-2022,Multi-Family (2-4 Unit),1936 - 1938 Powell St,San Francisco,CA,94133,1988000.0,6.0,2.0,San Francisco,2728.0,2234.0,1907.0,,729.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/1936-Powell-St-94133/home/1400585,San Francisco MLS,422657988,N,Y,37.8026489,-122.4110148,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
9,PAST SALE,June-2-2022,Condo/Co-op,716 Fillmore St,San Francisco,CA,94117,1706000.0,3.0,1.5,San Francisco,1313.0,2499.0,1900.0,,1299.0,375.0,Sold,,,https://www.redfin.com/CA/San-Francisco/716-Fillmore-St-94117/home/109315298,San Francisco MLS,422649667,N,Y,37.7764359,-122.431042,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
10,PAST SALE,July-12-2022,Single Family Residential,1875 44th Ave,San Francisco,CA,94122,1475000.0,2.0,2.0,SAN FRANCISCO,1016.0,3000.0,1944.0,,1452.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/1875-44th-Ave-94122/home/1910645,MLSListings,ML81895211,N,Y,37.751669,-122.5033491,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
11,PAST SALE,May-3-2022,Single Family Residential,243 Bella Vista Way,San Francisco,CA,94127,1800000.0,3.0,2.0,San Francisco,1557.0,2504.0,1947.0,,1156.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/243-Bella-Vista-Way-94127/home/1637348,San Francisco MLS,422642078,N,Y,37.7374195,-122.4503281,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
12,PAST SALE,December-15-2022,Single Family Residential,1997 14th Ave,San Francisco,CA,94116,1750000.0,3.0,1.5,SAN FRANCISCO,1621.0,3510.0,1951.0,,1080.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/1997-14th-Ave-94116/home/1376829,MLSListings,ML81912242,N,Y,37.7508348,-122.4711598,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
13,PAST SALE,March-6-2023,Single Family Residential,251 Summit Way,San Francisco,CA,94132,1920000.0,4.0,3.5,San Francisco,2385.0,1701.0,2015.0,,805.0,250.0,Sold,,,https://www.redfin.com/CA/San-Francisco/251-Summit-Way-94132/home/102080144,San Francisco MLS,423715687,N,Y,37.7153386,-122.4771297,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
14,PAST SALE,June-8-2022,Multi-Family (2-4 Unit),91 - 97 Mayfair Dr,San Francisco,CA,94118,2750000.0,4.0,4.0,San Francisco,3956.0,3593.0,1949.0,,695.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/91-97-Mayfair-Dr-94118/unit-97/home/1260963,San Francisco MLS,422644059,N,Y,37.7857746,-122.4517977,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
15,PAST SALE,September-15-2022,Single Family Residential,290 Bowdoin St,San Francisco,CA,94134,1133000.0,3.0,2.0,San Francisco,,2325.0,1928.0,,,,Sold,,,https://www.redfin.com/CA/San-Francisco/290-Bowdoin-St-94134/home/1423249,San Francisco MLS,422677199,N,Y,37.7307988,-122.4130791,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
16,PAST SALE,October-31-2022,Single Family Residential,1015 Brazil Ave,San Francisco,CA,94112,1100000.0,2.0,2.0,San Francisco,1143.0,1873.0,1902.0,,962.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/1015-Brazil-Ave-94112/home/1971649,San Francisco MLS,422683054,N,Y,37.7207289,-122.426087,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
