SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Multi-Family (5+ Unit),4349 18th St,San Francisco,CA,94114,1300000,8,9.0,,4443,1875,1904,,293,,,,,https://www.redfin.com/CA/San-Francisco/4349-18th-St-94114/home/675926,,,N,Y,37.7605142,-122.4380156
PAST SALE,October-28-2022,Single Family Residential,2127 Balboa St,San Francisco,CA,94121,1300000,2,1.0,SAN FRANCISCO,984,2500,1934,,1321,,Sold,,,https://www.redfin.com/CA/San-Francisco/2127-Balboa-St-94121/home/1021986,MLSListings,ML81909205,N,Y,37.7762438,-122.481817
PAST SALE,October-28-2022,Single Family Residential,2152 16th Ave,San Francisco,CA,94116,1610000,4,3.0,San Francisco,1325,3000,1938,,1215,,Sold,,,https://www.redfin.com/CA/San-Francisco/2152-16th-Ave-94116/home/1022996,San Francisco MLS,422697206,N,Y,37.7478196,-122.4725196
PAST SALE,April-1-2022,Single Family Residential,746 33rd Ave,San Francisco,CA,94121,2290000,4,2.5,SAN FRANCISCO,2050,2996,1923,,1117,,Sold,,,https://www.redfin.com/CA/San-Francisco/746-33rd-Ave-94121/home/2018600,MLSListings,ML81879385,N,Y,37.7750348,-122.4928113
PAST SALE,April-15-2022,Condo/Co-op,423 Waller St #5,San Francisco,CA,94117,720000,1,1.0,SAN FRANCISCO,588,,1965,,1224,344,Sold,,,https://www.redfin.com/CA/San-Francisco/423-Waller-St-94117/unit-5/home/979860,MLSListings,ML81881807,N,Y,37.7709029,-122.4307621
PAST SALE,April-14-2022,Single Family Residential,4184 25th St,San Francisco,CA,94114,6500000,5,5.0,San Francisco,4587,2665,,,1417,,Sold,,,https://www.redfin.com/CA/San-Francisco/4184-25th-St-94114/home/1891037,San Francisco MLS,422641455,N,Y,37.7499273,-122.4335822
PAST SALE,November-10-2022,Single Family Residential,45 Pinehurst Way,San Francisco,CA,94127,1690000,3,1.0,SAN FRANCISCO,1768,3105,1928,,956,,Sold,,,https://www.redfin.com/CA/San-Francisco/45-Pinehurst-Way-94127/home/1395754,MLSListings,ML81908520,N,Y,37.7275834,-122.4655433
PAST SALE,April-19-2022,Single Family Residential,227 Dorland St,San Francisco,CA,94114,2610000,3,2.5,San Francisco,2418,2953,1900,,1079,,Sold,,,https://www.redfin.com/CA/San-Francisco/227-Dorland-St-94114/home/709900,San Francisco MLS,422638882,N,Y,37.7618726,-122.4290488
PAST SALE,July-1-2022,Multi-Family (2-4 Unit),1936 - 1938 Powell St,San Francisco,CA,94133,1988000,6,2.0,San Francisco,2728,2234,1907,,729,,Sold,,,https://www.redfin.com/CA/San-Francisco/1936-Powell-St-94133/home/1400585,San Francisco MLS,422657988,N,Y,37.8026489,-122.4110148
PAST SALE,June-2-2022,Condo/Co-op,716 Fillmore St,San Francisco,CA,94117,1706000,3,1.5,San Francisco,1313,2499,1900,,1299,375,Sold,,,https://www.redfin.com/CA/San-Francisco/716-Fillmore-St-94117/home/109315298,San Francisco MLS,422649667,N,Y,37.7764359,-122.431042
